ID列	地域ID指定列	音素列	かな列	IPA列	訳列	系統列	意味領域列	品詞列	アクセント型列	音節構造列	語幹列	備考列	音声ファイル列	画像ファイル列	動画列	活用列	標準語ひらがな列	例文指定列	更新列	例文列	例文訳列
1	1	čibu[ru	ちぶ[る	ʨibu[ɾu	頭	沖縄語	体	名詞	c	CV.CV.CV			ciburu.wav				あたま	1	20220418	čiburu jamun	頭が痛い
2	1	hana]zi[či	はな]じ[ち	hana]ʑi[ʨi	髪の毛	沖縄語	体	名詞	不明	CV.CV.CV.CV			hanazici.wav				かみのけ		20220418		
3	1	[maa][či	まー][ち	[maː][ʨi	つむじ	沖縄語	体	名詞	c	CVV.CV			maaci.wav				つむじ		20220418		
4	1	iri[či	いり[ち	iɾi[ʨi	ふけ	沖縄語	体	名詞	c	V.CV.CV			irici.wav				ふけ		20220418		
5	1	saa[gi	さー[ぎ	saː[gi	白髪	沖縄語	体	名詞	c	CVV.CV			saagi.wav				しらが		20220418		
6	1	mi[i	み[ー	mi[ː	目	沖縄語	体	名詞	b	CVV			miieye.wav				め	6	20220418	mii kuruguru	眼が黒々
7	1	mima[ju	みま[ゆ	mima[ju	眉	沖縄語	体	名詞	b	CV.CV.CV			mimaju.wav				まゆ		20220418		
8	1	man[ta	まん[た	man[ta	額	沖縄語	体	名詞	c	CVC.CV			manta.wav				がく		20220418		
9	1	[fana	ふぁーな	[ɸʷana	鼻	沖縄語	体	名詞	a	CV.CV			fananose.wav				はな		20220418		
10	1	[fana]zii	ふぁーなじ	[ɸʷana]ʑiː	鼻血	沖縄語	体	名詞	a	CV.CV.CVV			hanazi.wav				はなぢ		20220418		
11	1	mimi[i	みみ[ー	mimi[ː	耳	沖縄語	体	名詞	b	CV.CVV			mimii.wav				みみ		20220418		
12	1	[kuči	[くち	[kuʨi	口	沖縄語	体	名詞	a	CV.CV			kuci.wav				ぐち		20220418		
13	1	[suwa	[すわ	[suwa	唇	沖縄語	体	名詞	a	CV.CV			suwa.wav				くちびる		20220418		
14	1	siča[a	しちゃ[ー	ɕiʨa[ː	舌	沖縄語	体	名詞	b	CV.CVV			sicaa.wav				じた		20220418		
15	1	fa[a	ふぁ[ー	ɸʷa[ː	歯	沖縄語	体	名詞	b	CVV			faatooth.wav				は		20220418		
16	1	asi[si	あし[し	aɕi[ɕi	歯茎	沖縄語	体	名詞	c	V.CV.CV			asisi.wav				はぐき		20220418		
17	1	[agu	[あぐ	[agu	あご	沖縄語	体	名詞	a	V.CV			agu.wav				あご		20220418		
18	1	[hizi	[ひじ	[hiʑi	ひげ	沖縄語	体	名詞	a	CV.CV			hizi.wav				ひげ		20220418		
19	1	[kii	[きー	[kiː	毛	沖縄語	体	名詞	a	CVV			kiihair.wav				け		20220418		
20	1	čira[a	ちら[ー	ʨiɾa[ː	面	沖縄語	体	名詞	b	CV.CVV			ciraa.wav				めん		20220418		
21	1	[kui]	[くい	[kui]	首	沖縄語	体	名詞	a	CV.V			kui.wav				くび		20220418		
22	1	kata[a	かた[ー	kata[ː	肩	沖縄語	体	名詞	b	CV.CVV			kataa.wav				かた		20220418		
23	1	[niifara	[にーふぁら	[niːɸaɾa	胸	沖縄語	体	名詞	a	CVV.CV.CV			niifara.wav				むね		20220418		
24	1	sookibu[ni	そーきぶ[ね	soːkibu[ni	肋骨	沖縄語	体	名詞	c	CVV.CV.CV.CV			sookibuni.wav				あばらぼね		20220418		
25	1	či[i	ち[ー	ʨi[ː	乳	沖縄語	体	名詞	b	CVV			cii.wav				ちち		20220418		
26	1	wata[a	わた[ー	wata[ː	腹	沖縄語	体	名詞	b	CV.CVV			wataa.wav				はら		20220418		
27	1	nagani[i	ながに[ー	nagani[ː	背中	沖縄語	体	名詞	b	CV.CV.CVV			naganii.wav				せなか		20220418		
28	1	wači[i	わち[ー	waʨi[ː	脇の下	沖縄語	体	名詞	b	CV.CVV			wacii.wav				わきのした		20220418		
29	1	či[mu	ち[む	ʨi[mu	肝	沖縄語	体	名詞	b	CV.CV			cimu.wav				ぎも		20220418		
30	1	denbu[su	でんぶ[す	dembu[su	へそ	沖縄語	体	名詞	c	CVC.CV.CV			denbusu.wav				へそ		20220418		
31	1	[kusi	[くし	[kuɕi	腰	沖縄語	体	名詞	a	CV.CV			kusi.wav				ごし		20220418		
32	1	ma[i	ま[い	ma[i	尻	沖縄語	体	名詞	b	CV.V			mai.wav				じり		20220418		
33	1	[či][bi	ち][び	[ʨi][bi	肛門	沖縄語	体	名詞	b	CV.CV			cibi.wav				こうもん		20220418		
34	1	ti[i	てぃ[ー	ti[ː	手	沖縄語	体	名詞	b	CVV			tii.wav				て		20220418		
35	1	kenna[a	けんな[ー	kenna[ː	腕	沖縄語	体	名詞	b	CVC.CVV			kennaa.wav				うで		20220418		
36	1	[hizi	[ひじ	[hiʑi	肘	沖縄語	体	名詞	a	CV.CV			hizi.wav				ひじ		20220418		
37	1	gute[e	ぐて[ー	gute[ː	体	沖縄語	体	名詞	b	CV.CVV			gutee.wav				りょく・からだ		20220418		
38	1	čizi]kumi[i	ちじ]くみ[ー	ʨiʑi]kumi[ː	拳	沖縄語	体	名詞	b	CV.CV.CV.CVV			cizikumii.wav				こぶし		20220418		
39	1	[čiru]	[ちる	[ʨiɾu]	筋	沖縄語	体	名詞	a	CV.CV			ciru.wav				すじ		20220418		
40	1	ii][bi	いー][び	iː][bi	指	沖縄語	体	名詞	c	VV.CV			iibi.wav				ゆび		20220418		
41	1	[čimi	[ちみ	[ʨimi	爪	沖縄語	体	名詞	a 	CV.CV			cimi.wav				づめ		20220418		
42	1	saa	さー	saː	足	沖縄語	体	名詞	不明	CVV			saa.wav				あし		20220418		
43	1	mumu[u	むむ[ー	mumu[ː	腿	沖縄語	体	名詞	b	CV.CVV			mumuu.wav				もも		20220418		
44	1	mata[a	また[ー	mata[ː	股	沖縄語	体	名詞	b	CV.CVV			mataa.wav				もも		20220418		
45	1	činčingee	ちんちげー	ʨinʨingeː	膝	沖縄語	体	名詞	不明	CVC.CV.CVV			cincigee.wav				ひざ		20220418		
46	1	kunda[a	くんだ[ー	kunda[ː	ふくら脛	沖縄語	体	名詞	b	CVC.CVV			kundaa.wav				ふくらはぎ		20220418		
47	1	a[do	あ[ど	a[do	かかと	沖縄語	体	名詞	b	V.CV			ado.wav				かかと		20220418		
48	1	du[u	どぅ[ー	du[ː	体	沖縄語	体	名詞	b	CVV			duu.wav				からだ		20220418		
49	1	[fudu	[ふどぅ	[ɸudu	背丈	沖縄語	体	名詞	a	CV.CV			fudu.wav				せたけ		20220418		
50	1	fun[ni	ふん[に	ɸun[ni	骨	沖縄語	体	名詞	c	CVC.CV			funni.wav				ほね		20220418		
51	1	ka[a	か[ー	ka[ː	皮	沖縄語	体	名詞	b	CVV			kaa.wav				かわ		20220418		
52	1	nada[a	なだ[ー	nada[ː	涙	沖縄語	体	名詞	b	CV.CVV			nadaa.wav				なみだ	52	20220418	nadaa nzijoon	涙が出ている
53	1	[ku]i	[くい	[ku]i	声	沖縄語	体	名詞	a	CV.V			kui.wav				こえ		20220418		
54	1	ii][či	いー][ち	iː][ʨi	息	沖縄語	体	名詞	c	VV.CV			iici.wav				いき		20220418		
55	1	sakku[i	さっく[い	sakku[i	咳	沖縄語	体	名詞	b?	CVC.CV.V			sakkui.wav				せき		20220418		
56	1	činpe[i	ちんぺ[い	ʨimpe[i	唾	沖縄語	体	名詞	b	CVC.CV.V			cinpei.wav				つば		20220418		
57	1	[jurei	[ゆれい	[juɾei	よだれ	沖縄語	体	名詞	a	CV.CV.V			jurei.wav				よだれ	57	20220418	jurei tarijoon	よだれが垂れている
58	1	hii	ひー	hiː	屁	沖縄語	体	名詞	不明	CVV			hiifart.wav				へ		20220418		
59	1	kusu[u	くす[ー	kusu[ː	糞	沖縄語	体	名詞	b	CV.CVV			kusuu.wav				くそ		20220418		
60	1	siibe[i	しーべ[い	ɕiːbe[i	尿	沖縄語	体	名詞	b?	CVV.CV.V			siibei.wav				にょう		20220418		
61	1	čin]kami[i	ちん]かみ[ー	ʨin]kami[ː	おでき	沖縄語	体	名詞	b	CVC.CV.CVV			cinkamii.wav				おでき		20220418		
62	1	miibuta	みーぶた	miːbuta	たんこぶ	沖縄語	体	名詞	不明	CVV.CV.CV			miibuta.wav				たんこぶ		20220418		
63	1	asii	あしー	aɕiː	汗	沖縄語	体	名詞	不明	V.CVV			asii.wav				あせ		20220418		
64	1	aka[a	あか[ー	aka[ː	垢	沖縄語	体	名詞	b	V.CVV			akaa.wav				あか		20220418		
65	1	gee[či	げー[ち	geː[ʨi	病気	沖縄語	体	名詞	c	CVV.CV			geeci.wav				びょうき		20220418		
66	1	[čii	[ちー	[ʨiː	血	沖縄語	体	名詞	a	CVV			ciiblood.wav				ち		20220418		
67	1	[kizi	[きじ	[kiʑi	傷	沖縄語	体	名詞	a	CV.CV			kizi.wav				きず		20220418		
68	1	kusu[i	くす[い	kusu[i	薬	沖縄語	体	名詞	c	CV.CV.V			kusui.wav				やく	68	20220418	kusui numiwasitan	薬を飲み忘れた
69	1	nuči[i	ぬち[ー	nuʨi[ː	命	沖縄語	体	名詞	b	CV.CVV			nucii.wav				いのち		20220418		
70	1	či]ra[a	ちら[ー	ʨi]ɾa[ː	面	沖縄語	体	名詞	不明	CV.CVV			ciraa.wav				めん		20220418		
71	1	ʔmi[i	‘み[ー	ʔmi[ː	膿	沖縄語	体	名詞	b	PCVV			miipus.wav				うみ		20220418		
72	1	fuu[ga	ふー[が	ɸuː[ga	睾丸	沖縄語	体	名詞	c	CVV.CV			fuuga.wav				こうがん		20220418		
73	1	fuu[gi	ふー[ぎ	ɸuː[gi	陰毛	沖縄語	体	名詞	c	CVV.CV			fuugi.wav				いんもう		20220418		
74	1	gama[ku	がま[く	gama[ku	腰回り	沖縄語	体	名詞	c	CV.CV.CV			gamaku.wav				こしまわり		20220418		
75	1	watamu[n	わたむ[ん	watamu[ɴ	内臓	沖縄語	体	名詞	b	CV.CV.CVC			watamun.wav				ないぞう		20220418		
76	1	siibeizi[či	しーべいじ[ち	ɕiːbeiʥi[ʨi	膀胱	沖縄語	体	名詞	不明	CVV.CV.V.CV.CV			siibeizici.wav				ぼうこう		20220418		
77	1	tiinu hira	てぃーぬひら	tiːnuhi[ra	掌	沖縄語	体	名詞	不明	CVV.CV.CV.CV			tiinuhira.wav				てのひら		20220418		
78	1	niibuta	にーぶた	niːbuta	瘤	沖縄語	体	名詞	不明	CVV.CV.CV			niibuta.wav				こぶ		20220418		
79	1	oo]mi	おー]み	oː]mi	青み	沖縄語	体	名詞	a	VV.CV			oomi.wav				あおみ		20220418		
80	1	siwaa	しわー	ɕiwaː	皺	沖縄語	体	名詞	不明	CV.CVV			siwaa.wav				じわ		20220418		
81	1	matawasii	またわしー	matawaɕiː	またぐら	沖縄語	体	名詞	不明	CV.CV.CV.CVV			matawasii.wav				またぐら		20220418		
82	1	sičawata	しちゃわた	ɕiʨawata	下腹部	沖縄語	体	名詞	不明	CV.CV.CV.CV			sicawata.wav				かふくぶ		20220418		
83	1	tanii	たにー	taniː	男根	沖縄語	体	名詞	不明	CV.CVV			tanii.wav				だんこん		20220418		
84	1	iraa	いらー	iɾaː	胞衣	沖縄語	体	名詞	不明	V.CVV			iraa.wav				えな		20220418		
85	1	utiti	うてぃてぃ	utiti	打ち身	沖縄語	体	名詞	不明	V.CV.CV			utiti.wav				うちみ		20220418		
86	1	koosa	こーさ	koːsa	拳	沖縄語	体	名詞	不明	CVV.CV			koosa.wav				こぶし		20220418		
87	1	kucumi	くつみ	kutsumi	疣	沖縄語	体	名詞	不明	CV.CV.CV			kucumi.wav				いぼ		20220418		
88	1	azaa	あざー	azaː	痣	沖縄語	体	名詞	不明	V.CVV			azaa.wav				あざ		20220418		
89	1	hegasa	へがさ	hegasa	ニキビ	沖縄語	体	名詞	a?c?	CV.CV.CV			hegasa.wav				ニキビ		20220418		
90	1	kuu[bu	くーぶ	kuːbu	こぶ	沖縄語	体	名詞	c?	CVV.CV			kuubu.wav				こぶ		20220418		
